T A_init L S Dead Code 
950 20.000000 0 0 1024 0
950 25.000000 0 0 1024 0
950 30.000000 0 0 1024 0
950 35.000000 0 0 1024 0
950 40.000000 0 0 1024 0
950 45.000000 0 0 1024 0
950 50.000000 0 0 1024 0
1000 0.000000 0 0 1024 0
1000 5.000000 0 0 1024 0
1000 10.000000 0 0 1024 0
1000 15.000000 0 0 1024 0
1000 20.000000 0 0 1024 0
1000 25.000000 0 0 1024 0
1000 30.000000 0 0 1024 0
1000 35.000000 0 0 1024 0
1000 40.000000 0 0 1024 0
1000 45.000000 0 0 1024 0
1000 50.000000 0 0 1024 0
1050 0.000000 0 0 1024 0
1050 5.000000 0 0 1024 0
1050 10.000000 0 0 1024 0
1050 15.000000 0 0 1024 0
1050 20.000000 0 0 1024 0
1050 25.000000 0 0 1024 0
1050 30.000000 0 0 1024 0
1050 35.000000 0 0 1024 0
1050 40.000000 0 0 1024 0
1050 45.000000 0 0 1024 0
1050 50.000000 0 0 1024 0
1100 0.000000 0 0 1024 0
1100 5.000000 0 0 1024 0
1100 10.000000 0 0 1024 0
1100 15.000000 0 0 1024 0
1100 20.000000 0 0 1024 0
1100 25.000000 0 0 1024 0
1100 30.000000 0 0 1024 0
1100 35.000000 0 0 1024 0
1100 40.000000 0 0 1024 0
1100 45.000000 0 0 1024 0
1100 50.000000 0 0 1024 0
1150 0.000000 0 0 1024 0
1150 5.000000 0 0 1024 0
1150 10.000000 0 0 1024 0
1150 15.000000 0 0 1024 0
1150 20.000000 0 0 1024 0
1150 25.000000 0 0 1024 0
1150 30.000000 0 0 1024 0
1150 35.000000 0 0 1024 0
1150 40.000000 0 0 1024 0
1150 45.000000 0 0 1024 0
1150 50.000000 0 0 1024 0
1200 0.000000 0 0 1024 0
1200 5.000000 0 0 1024 0
1200 10.000000 0 0 1024 0
1200 15.000000 0 0 1024 0
1200 20.000000 0 0 1024 0
1200 25.000000 0 0 1024 0
1200 30.000000 0 0 1024 0
1200 35.000000 0 0 1024 0
1200 40.000000 0 0 1024 0
1200 45.000000 0 0 1024 0
1200 50.000000 0 0 1024 0
1250 0.000000 0 0 1024 0
1250 5.000000 0 0 1024 0
1250 10.000000 0 0 1024 0
1250 15.000000 0 0 1024 0
1250 20.000000 0 0 1024 0
1250 25.000000 0 0 1024 0
1250 30.000000 0 0 1024 0
1250 35.000000 0 0 1024 0
1250 40.000000 0 0 1024 0
1250 45.000000 0 0 1024 0
1250 50.000000 0 0 1024 0
1300 0.000000 0 0 1024 0
1300 5.000000 0 0 1024 0
1300 10.000000 0 0 1024 0
1300 15.000000 0 0 1024 0
1300 20.000000 0 0 1024 0
1300 25.000000 0 0 1024 0
1300 30.000000 0 0 1024 0
1300 35.000000 0 0 1024 0
1300 40.000000 0 0 1024 0
1300 45.000000 0 0 1024 0
1300 50.000000 0 0 1024 0
1350 0.000000 0 0 1024 0
1350 5.000000 0 0 1024 0
1350 10.000000 0 0 1024 0
1350 15.000000 0 0 1024 0
1350 20.000000 0 0 1024 0
1350 25.000000 0 0 1024 0
1350 30.000000 0 0 1024 0
1350 35.000000 0 0 1024 0
1350 40.000000 0 0 1024 0
1350 45.000000 0 0 1024 0
1350 50.000000 0 0 1024 0
1400 0.000000 0 0 1024 0
1400 5.000000 0 0 1024 0
1400 10.000000 0 0 1024 0
1400 15.000000 0 0 1024 0
1400 20.000000 0 0 1024 0
1400 25.000000 0 0 1024 0
1400 30.000000 0 0 1024 0
1400 35.000000 0 0 1024 0
1400 40.000000 0 0 1024 0
1400 45.000000 0 0 1024 0
1400 50.000000 0 0 1024 0
1450 0.000000 0 0 1024 0
1450 5.000000 0 0 1024 0
1450 10.000000 0 0 1024 0
1450 15.000000 0 0 1024 0
1450 20.000000 0 0 1024 0
1450 25.000000 0 0 1024 0
1450 30.000000 0 0 1024 0
1450 35.000000 0 0 1024 0
1450 40.000000 0 0 1024 0
1450 45.000000 0 0 1024 0
1450 50.000000 0 0 1024 0
1500 0.000000 0 0 1024 0
1500 5.000000 0 0 1024 0
1500 10.000000 0 0 1024 0
1500 15.000000 0 0 1024 0
1500 20.000000 0 0 1024 0
1500 25.000000 0 0 1024 0
1500 30.000000 0 0 1024 0
1500 35.000000 0 0 1024 0
1500 40.000000 0 0 1024 0
1500 45.000000 0 0 1024 0
1500 50.000000 0 0 1024 0
705 0.000000 0 0 1024 0
705 2.500000 0 0 1024 0
705 5.000000 0 0 1024 0
705 7.500000 1002 0 22 2
705 10.000000 1003 0 21 2
705 12.500000 1007 0 17 2
705 15.000000 999 0 25 2
705 17.500000 998 0 26 2
705 20.000000 1006 0 18 2
705 22.500000 1007 0 17 2
705 25.000000 997 0 27 2
705 27.500000 1001 0 23 2
705 30.000000 1001 0 23 2
705 32.500000 998 0 26 2
705 35.000000 1002 0 22 2
705 37.500000 999 0 25 2
705 40.000000 1004 0 20 2
705 42.500000 1002 0 22 2
705 45.000000 1007 0 17 2
705 47.500000 1004 0 20 2
705 50.000000 1004 0 20 2
715 0.000000 0 0 1024 0
715 2.500000 0 0 1024 0
715 5.000000 5 0 1019 2
715 7.500000 9 0 1015 2
715 10.000000 7 0 1017 2
715 12.500000 11 0 1013 2
715 15.000000 13 0 1011 2
715 17.500000 16 0 1008 2
715 20.000000 22 0 1002 2
715 22.500000 19 0 1005 2
715 25.000000 19 0 1005 2
715 27.500000 18 0 1006 2
715 30.000000 28 0 996 2
715 32.500000 27 0 997 2
715 35.000000 17 0 1007 2
715 37.500000 29 0 995 2
715 40.000000 14 0 1010 2
715 42.500000 21 0 1003 2
715 45.000000 18 0 1006 2
715 47.500000 23 0 1001 2
715 50.000000 22 0 1002 2
725 0.000000 0 0 1024 0
725 2.500000 0 0 1024 0
725 5.000000 62 0 962 2
725 7.500000 83 0 941 2
725 10.000000 98 0 926 2
725 12.500000 123 0 901 2
725 15.000000 167 0 857 2
725 17.500000 171 0 853 2
725 20.000000 252 0 772 2
725 22.500000 213 0 811 2
725 25.000000 249 0 775 2
725 27.500000 299 0 725 2
725 30.000000 336 0 688 2
725 32.500000 244 0 780 2
725 35.000000 304 0 720 2
725 37.500000 370 0 654 2
725 40.000000 399 0 625 2
725 42.500000 399 0 625 2
725 45.000000 362 0 662 2
725 47.500000 424 0 600 2
725 50.000000 472 0 552 2
735 0.000000 0 0 1024 0
735 2.500000 0 0 1024 0
735 5.000000 0 0 1024 0
735 7.500000 963 0 61 2
735 10.000000 991 0 33 2
735 12.500000 997 0 27 2
735 15.000000 1003 0 21 2
735 17.500000 992 0 32 2
735 20.000000 1003 0 21 2
735 22.500000 998 0 26 2
735 25.000000 998 0 26 2
735 27.500000 1002 0 22 2
735 30.000000 1006 0 18 2
735 32.500000 1004 0 20 2
735 35.000000 1007 0 17 2
735 37.500000 1001 0 23 2
735 40.000000 999 0 25 2
735 42.500000 1008 0 16 2
735 45.000000 999 0 25 2
735 47.500000 987 0 37 2
735 50.000000 1007 0 17 2
745 0.000000 0 0 1024 0
745 2.500000 0 0 1024 0
745 5.000000 0 0 1024 0
745 7.500000 0 0 1024 0
745 10.000000 1003 0 21 2
745 12.500000 1015 0 9 2
745 15.000000 1003 0 21 2
745 17.500000 1009 0 15 2
745 20.000000 1008 0 16 2
745 22.500000 992 0 32 2
745 25.000000 1009 0 15 2
745 27.500000 995 0 29 2
745 30.000000 1006 0 18 2
745 32.500000 1002 0 22 2
745 35.000000 1011 0 13 2
745 37.500000 1006 0 18 2
745 40.000000 1013 0 11 2
745 42.500000 1005 0 19 2
745 45.000000 1014 0 10 2
745 47.500000 1006 0 18 2
745 50.000000 999 0 25 2
755 0.000000 0 0 1024 0
755 2.500000 0 0 1024 0
755 5.000000 0 0 1024 0
755 7.500000 1001 0 23 2
755 10.000000 995 0 29 2
755 12.500000 1003 0 21 2
755 15.000000 1009 0 15 2
755 17.500000 995 0 29 2
755 20.000000 995 0 29 2
755 22.500000 1000 0 24 2
755 25.000000 1000 0 24 2
755 27.500000 995 0 29 2
755 30.000000 1007 0 17 2
755 32.500000 1006 0 18 2
755 35.000000 1007 0 17 2
755 37.500000 1002 0 22 2
755 40.000000 997 0 27 2
755 42.500000 1003 0 21 2
755 45.000000 1004 0 20 2
755 47.500000 1005 0 19 2
755 50.000000 990 0 34 2
765 0.000000 0 0 1024 0
765 2.500000 0 0 1024 0
765 5.000000 0 0 1024 0
765 7.500000 0 0 1024 0
765 10.000000 0 0 1024 0
765 12.500000 1003 0 21 2
765 15.000000 997 0 27 2
765 17.500000 0 0 1024 0
765 20.000000 995 0 29 2
765 22.500000 1006 0 18 2
765 25.000000 0 0 1024 0
775 0.000000 0 0 1024 0
775 2.500000 0 0 1024 0
775 5.000000 0 0 1024 0
775 7.500000 0 0 1024 0
775 10.000000 0 0 1024 0
775 12.500000 0 0 1024 0
775 15.000000 22 0 1002 2
775 17.500000 21 0 1003 2
775 20.000000 0 0 1024 0
775 22.500000 25 0 999 2
775 25.000000 19 0 1005 2
775 27.500000 24 0 1000 2
775 30.000000 16 0 1008 2
775 32.500000 26 0 998 2
775 35.000000 30 0 994 2
775 37.500000 32 0 992 2
775 40.000000 25 0 999 2
775 42.500000 32 0 992 2
775 45.000000 19 0 1005 2
775 47.500000 30 0 994 2
