T A_init L S Dead Code 
850 37.500000 415 599 10 1
850 40.000000 436 571 17 1
850 42.500000 308 698 18 1
850 45.000000 333 668 23 1
850 47.500000 324 680 20 1
850 50.000000 270 732 22 1
900 0.000000 0 0 1024 0
900 2.500000 0 0 1024 0
900 5.000000 0 0 1024 0
900 7.500000 0 0 1024 0
900 10.000000 802 200 22 1
900 12.500000 962 41 21 1
900 15.000000 738 272 14 1
900 17.500000 840 163 21 1
900 20.000000 780 212 32 1
900 22.500000 724 287 13 1
900 25.000000 741 253 30 1
900 27.500000 699 300 25 1
900 30.000000 699 296 29 1
900 32.500000 738 263 23 1
900 35.000000 696 310 18 1
900 37.500000 757 243 24 1
900 40.000000 714 285 25 1
900 42.500000 733 274 17 1
900 45.000000 728 281 15 1
900 47.500000 739 272 13 1
900 50.000000 712 285 27 1
950 0.000000 0 0 1024 0
950 2.500000 0 0 1024 0
950 5.000000 0 0 1024 0
950 7.500000 0 0 1024 0
950 10.000000 0 0 1024 0
950 12.500000 33 968 23 1
950 15.000000 0 0 1024 0
950 17.500000 45 959 20 1
950 20.000000 21 982 21 1
950 22.500000 36 969 19 1
950 25.000000 65 939 20 1
950 27.500000 78 923 23 1
950 30.000000 49 953 22 1
950 32.500000 72 918 34 1
950 35.000000 69 923 32 1
950 37.500000 45 947 32 1
950 40.000000 83 906 35 1
950 42.500000 48 962 14 1
950 45.000000 45 958 21 1
950 47.500000 52 951 21 1
950 50.000000 44 948 32 1
1000 0.000000 0 0 1024 0
1000 2.500000 0 0 1024 0
1000 5.000000 0 0 1024 0
1000 7.500000 0 0 1024 0
1000 10.000000 0 0 1024 0
1000 12.500000 0 0 1024 0
1000 15.000000 22 5 997 1
1000 17.500000 14 48 962 1
1000 20.000000 48 64 912 1
1000 22.500000 9 95 920 1
1000 25.000000 12 111 901 1
1000 27.500000 17 158 849 1
1000 30.000000 15 81 928 1
1000 32.500000 17 109 898 1
1000 35.000000 15 93 916 1
1000 37.500000 15 150 859 1
1000 40.000000 20 140 864 1
1000 42.500000 21 165 838 1
1000 45.000000 13 102 909 1
1000 47.500000 22 124 878 1
1000 50.000000 25 177 822 1
1050 0.000000 0 0 1024 0
1050 2.500000 0 0 1024 0
1050 5.000000 0 0 1024 0
1050 7.500000 0 0 1024 0
1050 10.000000 0 0 1024 0
1050 12.500000 0 0 1024 0
1050 15.000000 0 0 1024 0
1050 17.500000 0 0 1024 0
1050 20.000000 9 997 18 1
1050 22.500000 0 0 1024 0
1050 25.000000 8 990 26 1
1050 27.500000 0 0 1024 0
1050 30.000000 13 991 20 1
1050 32.500000 70 942 12 1
1050 35.000000 5 997 22 1
1050 37.500000 19 988 17 1
1050 40.000000 33 977 14 1
1050 42.500000 27 972 25 1
1050 45.000000 26 985 13 1
1050 47.500000 32 980 12 1
1050 50.000000 44 959 21 1
1100 0.000000 0 0 1024 0
1100 2.500000 0 0 1024 0
1100 5.000000 0 0 1024 0
1100 7.500000 0 0 1024 0
1100 10.000000 0 0 1024 0
1100 12.500000 0 0 1024 0
1100 15.000000 0 0 1024 0
1100 17.500000 0 0 1024 0
1100 20.000000 0 0 1024 0
1100 22.500000 0 0 1024 0
1100 25.000000 0 0 1024 0
1100 27.500000 0 0 1024 0
1100 30.000000 956 50 18 1
1100 32.500000 0 1 1023 1
1100 35.000000 981 27 16 1
1100 37.500000 0 0 1024 0
1100 40.000000 951 54 19 1
1100 42.500000 961 43 20 1
1100 45.000000 0 0 1024 0
1100 47.500000 931 72 21 1
1100 50.000000 853 143 28 1
1150 0.000000 0 0 1024 0
1150 2.500000 0 0 1024 0
1150 5.000000 0 0 1024 0
1150 7.500000 0 0 1024 0
1150 10.000000 0 0 1024 0
1150 12.500000 0 0 1024 0
1150 15.000000 0 0 1024 0
1150 17.500000 0 0 1024 0
1150 20.000000 0 0 1024 0
1150 22.500000 0 0 1024 0
1150 25.000000 0 0 1024 0
1150 27.500000 0 0 1024 0
1150 30.000000 0 0 1024 0
1150 32.500000 0 0 1024 0
1150 35.000000 0 0 1024 0
1150 37.500000 0 0 1024 0
1150 40.000000 0 0 1024 0
1150 42.500000 0 0 1024 0
1150 45.000000 0 0 1024 0
1150 47.500000 47 584 393 1
1150 50.000000 0 0 1024 0
1200 0.000000 0 0 1024 0
1200 2.500000 0 0 1024 0
1200 5.000000 0 0 1024 0
1200 7.500000 0 0 1024 0
1200 10.000000 0 0 1024 0
