T A_init L S Dead Code
750 7.500000 72 928 24 1
750 12.500000 104 898 22 1
750 17.500000 131 866 27 1
750 22.500000 138 866 20 1
750 27.500000 103 906 15 1
750 32.500000 127 876 21 1
750 37.500000 131 870 23 1
750 42.500000 94 910 20 1
750 47.500000 108 899 17 1
775 0.000000 0 0 1024 0
775 5.000000 27 384 613 1
775 10.000000 238 616 170 1
775 15.000000 263 743 18 1
775 20.000000 435 565 24 1
775 25.000000 304 697 23 1
775 30.000000 153 854 17 1
775 35.000000 242 751 31 1
775 40.000000 266 738 20 1
775 45.000000 274 718 32 1
775 50.000000 269 732 23 1
775 2.500000 0 0 1024 0
775 7.500000 73 260 691 1
775 12.500000 309 657 58 1
775 17.500000 289 713 22 1
775 22.500000 271 723 30 1
775 27.500000 194 812 18 1
775 32.500000 216 791 17 1
775 37.500000 285 718 21 1
775 42.500000 264 743 17 1
775 47.500000 298 709 17 1
800 0.000000 0 0 1024 0
800 5.000000 0 0 1024 0
800 10.000000 68 935 21 1
800 15.000000 79 927 18 1
800 20.000000 89 919 16 1
800 25.000000 51 952 21 1
800 30.000000 74 916 34 1
800 35.000000 65 942 17 1
800 40.000000 57 941 26 1
800 45.000000 68 935 21 1
800 50.000000 79 926 19 1
800 2.500000 0 0 1024 0
800 7.500000 0 0 1024 0
800 12.500000 46 952 26 1
800 17.500000 50 948 26 1
800 22.500000 42 958 24 1
800 27.500000 39 969 16 1
800 32.500000 74 927 23 1
800 37.500000 73 933 18 1
800 42.500000 76 932 16 1
800 47.500000 80 928 16 1
825 0.000000 0 0 1024 0
825 5.000000 0 0 1024 0
825 10.000000 921 82 21 1
825 15.000000 809 201 14 1
825 20.000000 727 280 17 1
825 25.000000 745 265 14 1
825 30.000000 682 314 28 1
825 35.000000 716 280 28 1
825 40.000000 732 273 19 1
825 45.000000 729 275 20 1
825 50.000000 698 301 25 1
825 2.500000 0 0 1024 0
825 7.500000 0 0 1024 0
825 12.500000 790 209 25 1
825 17.500000 700 306 18 1
825 22.500000 731 273 20 1
825 27.500000 750 259 15 1
825 32.500000 745 262 17 1
825 37.500000 733 272 19 1
825 42.500000 722 275 27 1
825 47.500000 706 296 22 1
850 0.000000 0 0 1024 0
